Epoch,Loss,Train Accuracy,Test Accuracy
0,2.309434413909912,0.1,0.044
1,2.29301381111145,0.1,0.044
2,2.2668251991271973,0.2,0.408
3,2.2881174087524414,0.225,0.047
4,2.247861862182617,0.115,0.106
5,2.1739041805267334,0.135,0.049
6,2.215996742248535,0.22,0.175
7,2.0532920360565186,0.1,0.105
8,2.1600465774536133,0.2,0.058
9,2.1360440254211426,0.21,0.062
10,2.074451446533203,0.1,0.044
11,1.898146152496338,0.165,0.122
12,2.01001238822937,0.105,0.061
13,1.8835346698760986,0.24,0.135
14,1.6803734302520752,0.24,0.05
15,1.771694540977478,0.255,0.064
16,2.0832865238189697,0.175,0.038
17,1.7376694679260254,0.2,0.143
18,1.8994935750961304,0.345,0.287
19,1.6367477178573608,0.26,0.228
20,1.5150690078735352,0.23,0.16
21,1.5065455436706543,0.375,0.22
22,1.4579097032546997,0.51,0.526
23,1.5416302680969238,0.39,0.222
24,1.3457512855529785,0.355,0.168
25,1.4211337566375732,0.38,0.305
26,1.3866071701049805,0.37,0.392
27,1.2180057764053345,0.39,0.423
28,1.226653814315796,0.37,0.386
29,1.1436314582824707,0.36,0.233
30,1.1553874015808105,0.38,0.381
31,1.150667667388916,0.37,0.408
32,1.0387636423110962,0.29,0.249
33,1.0107765197753906,0.305,0.255
34,0.9937062859535217,0.36,0.347
35,1.1321778297424316,0.21,0.081
36,1.0916528701782227,0.415,0.431
37,1.051113247871399,0.365,0.225
38,1.155217170715332,0.43,0.407
39,0.8482120037078857,0.385,0.283
40,0.9107686877250671,0.425,0.469
41,0.7799266576766968,0.43,0.505
42,0.9168068170547485,0.425,0.494
43,0.8369614481925964,0.415,0.477
44,0.9783763289451599,0.425,0.473
45,0.7513052225112915,0.405,0.231
46,0.8246580362319946,0.39,0.229
47,0.7563669085502625,0.415,0.415
48,0.7832916975021362,0.415,0.461
49,0.7740876078605652,0.425,0.467
50,0.7660960555076599,0.435,0.416
51,0.7157390713691711,0.495,0.459
52,0.8367020487785339,0.435,0.49
53,0.6499426960945129,0.43,0.508
54,0.6777774691581726,0.43,0.498
55,0.5802841186523438,0.46,0.456
56,0.5623695254325867,0.455,0.423
57,0.544059693813324,0.435,0.425
58,0.5613908171653748,0.4,0.354
59,0.6187918186187744,0.385,0.227
60,0.537824273109436,0.4,0.227
61,0.5408759117126465,0.385,0.235
62,0.5360490679740906,0.445,0.419
63,0.6294087767601013,0.39,0.277
64,0.5475559830665588,0.395,0.232
65,0.5090486407279968,0.39,0.228
66,0.5718597769737244,0.45,0.42
67,0.45619314908981323,0.46,0.478
68,0.5177522301673889,0.44,0.454
69,0.4614250659942627,0.48,0.411
70,0.4542211890220642,0.445,0.293
71,0.43434542417526245,0.415,0.246
72,0.4548751711845398,0.475,0.416
73,0.40419673919677734,0.475,0.46
74,0.437511682510376,0.51,0.48
75,0.3768619894981384,0.51,0.497
76,0.4212247431278229,0.535,0.522
77,0.4261472821235657,0.52,0.513
78,0.40288737416267395,0.505,0.523
79,0.4086085259914398,0.49,0.511
80,0.3484792709350586,0.495,0.506
81,0.4138779044151306,0.505,0.499
82,0.3498265743255615,0.515,0.501
83,0.33662378787994385,0.515,0.505
84,0.35978755354881287,0.52,0.514
85,0.34187281131744385,0.515,0.529
86,0.34291544556617737,0.525,0.541
87,0.40034621953964233,0.525,0.554
88,0.31412339210510254,0.535,0.573
89,0.3687722086906433,0.57,0.575
90,0.33319950103759766,0.56,0.556
91,0.2994278073310852,0.545,0.552
92,0.37495899200439453,0.52,0.548
93,0.323018878698349,0.51,0.556
94,0.3245389461517334,0.53,0.569
95,0.3133103847503662,0.53,0.553
96,0.31881964206695557,0.58,0.591
97,0.33619800209999084,0.56,0.597
98,0.3211210370063782,0.55,0.594
99,0.3524837791919708,0.525,0.577
