Epoch,Loss,Train Accuracy,Test Accuracy
0,1.9451783895492554,0.34285714285714286,0.291
1,1.9225496053695679,0.29285714285714287,0.217
2,1.8572405576705933,0.2857142857142857,0.209
3,1.7036314010620117,0.4642857142857143,0.264
4,1.4549251794815063,0.7285714285714285,0.567
5,1.1916879415512085,0.7642857142857142,0.631
6,0.8884799480438232,0.7357142857142858,0.631
7,0.722756028175354,0.75,0.643
8,0.620719850063324,0.9214285714285714,0.738
9,0.5052280426025391,0.8428571428571429,0.67
10,0.6385948657989502,0.8428571428571429,0.692
11,0.39057549834251404,0.8571428571428571,0.703
12,0.3346676826477051,0.9357142857142857,0.781
13,0.203041672706604,0.9428571428571428,0.788
14,0.1965448409318924,0.9714285714285714,0.784
15,0.17293491959571838,0.9714285714285714,0.776
16,0.15772932767868042,0.9714285714285714,0.761
17,0.11574092507362366,0.9642857142857143,0.745
18,0.15186762809753418,0.9857142857142858,0.759
19,0.19408869743347168,0.9785714285714285,0.765
20,0.11823952198028564,0.9785714285714285,0.755
21,0.06753437221050262,0.9785714285714285,0.757
22,0.08657822757959366,0.9785714285714285,0.761
23,0.07445646077394485,0.9857142857142858,0.76
24,0.03722574561834335,0.9857142857142858,0.761
25,0.05030578374862671,0.9857142857142858,0.77
26,0.048822857439517975,0.9857142857142858,0.781
27,0.06707654893398285,1.0,0.78
28,0.03683319687843323,1.0,0.779
29,0.057580333203077316,1.0,0.778
30,0.013586711138486862,1.0,0.779
31,0.026847966015338898,1.0,0.772
32,0.019806576892733574,1.0,0.768
33,0.025544801726937294,0.9928571428571429,0.765
34,0.04879642650485039,0.9928571428571429,0.768
35,0.014902984723448753,0.9928571428571429,0.766
36,0.017055317759513855,1.0,0.775
37,0.036101970821619034,1.0,0.777
38,0.011985990218818188,1.0,0.77
39,0.027470756322145462,1.0,0.764
40,0.027362337335944176,1.0,0.768
41,0.024993224069476128,1.0,0.771
42,0.021116958931088448,1.0,0.765
43,0.07820846140384674,1.0,0.763
44,0.012813257984817028,1.0,0.76
45,0.021512046456336975,1.0,0.754
46,0.029738524928689003,1.0,0.755
47,0.014911593869328499,1.0,0.745
48,0.020028026774525642,1.0,0.751
49,0.021338092163205147,1.0,0.755
50,0.02259904518723488,1.0,0.764
51,0.020437292754650116,1.0,0.768
52,0.013953314162790775,1.0,0.773
53,0.01989859528839588,1.0,0.776
54,0.02727605029940605,0.9928571428571429,0.784
55,0.02333686128258705,0.9928571428571429,0.778
56,0.012176732532680035,1.0,0.781
57,0.019549529999494553,1.0,0.778
58,0.028437305241823196,1.0,0.766
59,0.010008616372942924,1.0,0.761
60,0.01386308204382658,1.0,0.761
61,0.06030850484967232,1.0,0.767
62,0.011969884857535362,1.0,0.77
63,0.006830230355262756,1.0,0.774
64,0.04063446819782257,1.0,0.782
65,0.015649134293198586,1.0,0.782
66,0.021492255851626396,1.0,0.768
67,0.017918039113283157,1.0,0.757
68,0.009835139848291874,1.0,0.745
69,0.023544179275631905,1.0,0.748
70,0.016687264665961266,1.0,0.757
71,0.01175028458237648,1.0,0.76
72,0.008488919585943222,1.0,0.76
73,0.04056251794099808,1.0,0.765
74,0.0066924444399774075,1.0,0.772
75,0.013172070495784283,1.0,0.773
76,0.006161652039736509,1.0,0.77
77,0.015632329508662224,1.0,0.77
78,0.018681159242987633,1.0,0.769
79,0.009501834399998188,1.0,0.775
80,0.030667465180158615,1.0,0.777
81,0.005001290235668421,1.0,0.786
82,0.020296655595302582,1.0,0.771
83,0.009823971427977085,1.0,0.764
84,0.010561097413301468,1.0,0.764
85,0.01071519311517477,1.0,0.763
86,0.005579088348895311,1.0,0.77
87,0.0035753974225372076,1.0,0.771
88,0.006061932072043419,1.0,0.771
89,0.06930088251829147,1.0,0.766
90,0.015445438213646412,1.0,0.753
91,0.006026810966432095,1.0,0.748
92,0.014597577974200249,1.0,0.737
93,0.03752578794956207,1.0,0.745
94,0.023707633838057518,1.0,0.76
95,0.019206905737519264,1.0,0.774
96,0.028364647179841995,1.0,0.788
97,0.016720063984394073,1.0,0.775
98,0.04553961753845215,1.0,0.757
99,0.024157529696822166,1.0,0.753
