Epoch,Loss,Train Accuracy,Test Accuracy
0,1.9459710121154785,0.6571428571428571,0.516
1,1.9287872314453125,0.4928571428571429,0.334
2,1.8830877542495728,0.4142857142857143,0.305
3,1.7608309984207153,0.5285714285714286,0.384
4,1.5489445924758911,0.6857142857142857,0.488
5,1.2505115270614624,0.7285714285714285,0.525
6,0.9503790736198425,0.8714285714285714,0.656
7,0.7171860933303833,0.7857142857142857,0.556
8,0.6401687860488892,0.8785714285714286,0.696
9,0.47126802802085876,0.8928571428571429,0.737
10,0.49793919920921326,0.95,0.752
11,0.3485935926437378,0.95,0.747
12,0.28972887992858887,0.95,0.717
13,0.38266515731811523,0.9428571428571428,0.746
14,0.24048154056072235,0.9571428571428572,0.75
15,0.15566386282444,0.9857142857142858,0.732
16,0.17730854451656342,0.9857142857142858,0.756
17,0.13531693816184998,0.9785714285714285,0.787
18,0.09751825779676437,0.9714285714285714,0.787
19,0.11583174020051956,0.9928571428571429,0.784
20,0.10913433879613876,1.0,0.793
21,0.0649389997124672,1.0,0.774
22,0.07783559709787369,0.9857142857142858,0.769
23,0.05673009157180786,0.9785714285714285,0.771
24,0.07313136011362076,0.9785714285714285,0.772
25,0.07381083071231842,0.9857142857142858,0.762
26,0.031037712469697,0.9857142857142858,0.763
27,0.0851607620716095,0.9928571428571429,0.771
28,0.055351171642541885,1.0,0.775
29,0.07294461876153946,1.0,0.772
30,0.026115892454981804,1.0,0.769
31,0.01966848596930504,1.0,0.763
32,0.02142575941979885,1.0,0.759
33,0.018293755128979683,1.0,0.751
34,0.045253295451402664,1.0,0.752
35,0.008598205633461475,1.0,0.756
36,0.02496284246444702,1.0,0.756
37,0.02247530221939087,1.0,0.744
38,0.05961545556783676,1.0,0.744
39,0.05886095017194748,1.0,0.743
40,0.027573123574256897,1.0,0.744
41,0.015643104910850525,1.0,0.742
42,0.02509446069598198,1.0,0.753
43,0.0673132985830307,1.0,0.777
44,0.016409264877438545,0.9928571428571429,0.776
45,0.005424645729362965,0.9928571428571429,0.771
46,0.042410314083099365,0.9785714285714285,0.772
47,0.038109004497528076,0.9928571428571429,0.774
48,0.07526163756847382,1.0,0.771
49,0.0227366853505373,1.0,0.775
50,0.007123385556042194,1.0,0.772
51,0.011782489717006683,1.0,0.761
52,0.02419101633131504,1.0,0.758
53,0.024493390694260597,1.0,0.762
54,0.08231546729803085,1.0,0.769
55,0.0137691805139184,1.0,0.77
56,0.009488494135439396,0.9928571428571429,0.775
57,0.006632751319557428,0.9928571428571429,0.772
58,0.016490239650011063,0.9928571428571429,0.769
59,0.030996650457382202,0.9928571428571429,0.77
60,0.032001953572034836,0.9928571428571429,0.776
61,0.02564750798046589,1.0,0.784
62,0.020364835858345032,1.0,0.783
63,0.04306759312748909,1.0,0.774
64,0.01492628175765276,1.0,0.769
65,0.010819878429174423,1.0,0.764
66,0.032565195113420486,1.0,0.756
67,0.01693849451839924,1.0,0.759
68,0.038740310817956924,1.0,0.766
69,0.020912209525704384,1.0,0.775
70,0.013274134136736393,1.0,0.783
71,0.010467526502907276,1.0,0.781
72,0.010169658809900284,1.0,0.775
73,0.01898087188601494,1.0,0.774
74,0.020871784538030624,1.0,0.768
75,0.0380396731197834,1.0,0.751
76,0.028870293870568275,1.0,0.754
77,0.008708643727004528,1.0,0.754
78,0.007925479672849178,1.0,0.76
79,0.01702973246574402,1.0,0.768
80,0.006769828498363495,1.0,0.773
81,0.0019293645163998008,1.0,0.784
82,0.021710306406021118,1.0,0.787
83,0.010577226988971233,1.0,0.779
84,0.021070435643196106,1.0,0.776
85,0.008508667349815369,1.0,0.778
86,0.006717149633914232,1.0,0.773
87,0.005185974761843681,1.0,0.77
88,0.007753674406558275,1.0,0.767
89,0.009976481087505817,1.0,0.761
90,0.006822224706411362,1.0,0.76
91,0.012372910976409912,1.0,0.763
92,0.005499740596860647,1.0,0.77
93,0.021291807293891907,1.0,0.77
94,0.005637610796838999,1.0,0.772
95,0.003850836306810379,1.0,0.771
96,0.0054507022723555565,1.0,0.773
97,0.003331906395033002,1.0,0.769
98,0.010690424591302872,1.0,0.766
99,0.013860027305781841,1.0,0.757
