Epoch,Loss,Train Accuracy,Test Accuracy
0,2.638496160507202,0.085,0.068
1,11.242426872253418,0.15,0.052
2,11.771422386169434,0.14,0.15
3,12.003854751586914,0.13,0.16
4,10.556649208068848,0.14,0.322
5,4.712799549102783,0.29,0.206
6,4.451084136962891,0.21,0.362
7,5.818362236022949,0.17,0.054
8,5.822232723236084,0.195,0.146
9,5.069341659545898,0.37,0.246
10,4.211568832397461,0.37,0.236
11,3.881427526473999,0.4,0.14
12,4.080366134643555,0.315,0.168
13,3.4504189491271973,0.29,0.454
14,2.317153215408325,0.49,0.324
15,2.2856104373931885,0.465,0.46
16,1.6849446296691895,0.535,0.636
17,1.6472691297531128,0.545,0.588
18,1.699048638343811,0.475,0.554
19,1.8014127016067505,0.45,0.692
20,1.169306755065918,0.685,0.628
21,1.105340838432312,0.65,0.512
22,1.3835182189941406,0.56,0.562
23,1.2196698188781738,0.63,0.712
24,1.0515974760055542,0.725,0.732
25,0.7982661724090576,0.785,0.724
26,0.7326858639717102,0.81,0.75
27,0.7167508602142334,0.81,0.744
28,0.6967553496360779,0.78,0.66
29,0.6428495049476624,0.8,0.634
30,0.7888461947441101,0.755,0.626
31,0.7475460767745972,0.81,0.584
32,0.6829410791397095,0.805,0.636
33,0.5283417701721191,0.83,0.708
34,0.5881385803222656,0.87,0.8
35,0.5088447332382202,0.88,0.814
36,0.44717928767204285,0.895,0.824
37,0.38922351598739624,0.905,0.822
38,0.36017468571662903,0.93,0.77
39,0.42688319087028503,0.9,0.726
40,0.4165061116218567,0.875,0.716
41,0.4017455577850342,0.915,0.764
42,0.38471779227256775,0.895,0.8
43,0.37163472175598145,0.915,0.822
44,0.297087699174881,0.945,0.824
45,0.31283971667289734,0.935,0.816
46,0.3215046226978302,0.93,0.806
47,0.26805272698402405,0.95,0.79
48,0.2787128984928131,0.945,0.786
49,0.33558785915374756,0.93,0.79
50,0.27920475602149963,0.945,0.798
51,0.2011684775352478,0.97,0.796
52,0.24856282770633698,0.935,0.798
53,0.2280750870704651,0.96,0.796
54,0.24683207273483276,0.95,0.814
55,0.1652243733406067,0.965,0.832
56,0.22571340203285217,0.94,0.838
57,0.2080794870853424,0.97,0.826
58,0.18390227854251862,0.98,0.826
59,0.18572567403316498,0.97,0.824
60,0.18782182037830353,0.96,0.808
61,0.18193869292736053,0.965,0.796
62,0.19049200415611267,0.97,0.806
63,0.14545714855194092,0.975,0.812
64,0.20082348585128784,0.945,0.808
65,0.16263927519321442,0.965,0.822
66,0.15817004442214966,0.975,0.818
67,0.14594469964504242,0.985,0.814
68,0.1488703340291977,0.97,0.832
69,0.14870747923851013,0.975,0.834
70,0.10809142887592316,0.995,0.834
71,0.14158987998962402,0.98,0.842
72,0.15461701154708862,0.97,0.834
73,0.1200157105922699,0.985,0.832
74,0.10874052345752716,0.99,0.822
75,0.10135862231254578,0.99,0.81
76,0.12030243128538132,0.985,0.816
77,0.10993664711713791,0.98,0.816
78,0.10854728519916534,0.985,0.828
79,0.12126729637384415,0.98,0.83
80,0.11859174817800522,0.975,0.83
81,0.10615091025829315,0.99,0.83
82,0.08811729401350021,1.0,0.826
83,0.07284282147884369,1.0,0.818
84,0.09419813007116318,0.985,0.808
85,0.09310047328472137,0.985,0.816
86,0.0760524719953537,0.995,0.83
87,0.09774831682443619,0.985,0.842
88,0.08021362125873566,0.99,0.854
89,0.10303939133882523,0.985,0.854
90,0.07677390426397324,1.0,0.836
91,0.07657793909311295,0.99,0.834
92,0.07215330004692078,0.99,0.828
93,0.1050894558429718,0.975,0.822
94,0.06309976428747177,1.0,0.818
95,0.06430592387914658,1.0,0.814
96,0.07005934417247772,0.995,0.816
97,0.07234591245651245,0.99,0.816
98,0.06387430429458618,0.99,0.82
99,0.058692120015621185,0.995,0.836
