Epoch,Loss,Train Accuracy,Test Accuracy
0,1.95041024684906,0.15,0.091
1,1.9372124671936035,0.5857142857142857,0.382
2,1.904942274093628,0.7714285714285715,0.589
3,1.8248594999313354,0.7071428571428572,0.547
4,1.6688334941864014,0.7071428571428572,0.507
5,1.4118576049804688,0.7357142857142858,0.559
6,1.107325553894043,0.8785714285714286,0.691
7,0.8831110000610352,0.8857142857142857,0.676
8,0.7282171845436096,0.75,0.647
9,0.6778774261474609,0.8857142857142857,0.718
10,0.42937326431274414,0.85,0.62
11,0.5215024948120117,0.8714285714285714,0.662
12,0.3628231883049011,0.9571428571428572,0.787
13,0.24277009069919586,0.9142857142857143,0.776
14,0.24297165870666504,0.9071428571428571,0.781
15,0.27010270953178406,0.9571428571428572,0.78
16,0.1944529414176941,0.9642857142857143,0.745
17,0.15417516231536865,0.9714285714285714,0.746
18,0.20410460233688354,0.9785714285714285,0.757
19,0.1424901783466339,0.9785714285714285,0.745
20,0.10904324799776077,0.9642857142857143,0.767
21,0.12001217156648636,0.9642857142857143,0.776
22,0.0911121517419815,0.9571428571428572,0.774
23,0.1720856875181198,1.0,0.772
24,0.05660075694322586,1.0,0.755
25,0.0937589481472969,0.9928571428571429,0.768
26,0.04858643189072609,0.9928571428571429,0.764
27,0.054869599640369415,0.9928571428571429,0.755
28,0.01808728277683258,0.9857142857142858,0.75
29,0.040279291570186615,0.9928571428571429,0.765
30,0.0810522586107254,0.9928571428571429,0.771
31,0.04368648678064346,1.0,0.774
32,0.03260583430528641,1.0,0.771
33,0.07238123565912247,1.0,0.78
34,0.041396599262952805,1.0,0.776
35,0.02148040197789669,1.0,0.769
36,0.03021802194416523,1.0,0.773
37,0.011311685666441917,1.0,0.774
38,0.031376052647829056,1.0,0.773
39,0.02937273308634758,1.0,0.78
40,0.026137007400393486,1.0,0.776
41,0.01808442920446396,1.0,0.77
42,0.017143961042165756,1.0,0.767
43,0.061001669615507126,1.0,0.778
44,0.019031083211302757,1.0,0.78
45,0.010857685469090939,1.0,0.779
46,0.017253434285521507,1.0,0.774
47,0.00901965145021677,1.0,0.763
48,0.043617166578769684,1.0,0.742
49,0.06349462270736694,1.0,0.736
50,0.022195495665073395,1.0,0.742
51,0.010180069133639336,1.0,0.749
52,0.01721542328596115,1.0,0.75
53,0.009884253144264221,1.0,0.753
54,0.026307132095098495,1.0,0.754
55,0.014226381666958332,1.0,0.756
56,0.0087822824716568,1.0,0.763
57,0.040348488837480545,1.0,0.764
58,0.021198216825723648,1.0,0.756
59,0.01681356690824032,0.9928571428571429,0.751
60,0.016191037371754646,1.0,0.759
61,0.019516656175255775,1.0,0.764
62,0.009612374007701874,1.0,0.761
63,0.0060955253429710865,1.0,0.76
64,0.01069195568561554,1.0,0.753
65,0.016034502536058426,1.0,0.761
66,0.01968327909708023,1.0,0.769
67,0.026221362873911858,1.0,0.771
68,0.009870273061096668,1.0,0.782
69,0.019058097153902054,1.0,0.785
70,0.00984552688896656,1.0,0.784
71,0.011411678977310658,1.0,0.782
72,0.016386335715651512,1.0,0.78
73,0.008574320003390312,1.0,0.775
74,0.008109803311526775,1.0,0.764
75,0.013241484761238098,1.0,0.756
76,0.011341642588376999,1.0,0.756
77,0.00982256792485714,1.0,0.752
78,0.03498072922229767,1.0,0.736
79,0.008458033204078674,1.0,0.73
80,0.01834852248430252,1.0,0.73
81,0.01021629199385643,1.0,0.743
82,0.036668386310338974,1.0,0.755
83,0.011555866338312626,1.0,0.761
84,0.02993549220263958,1.0,0.769
85,0.018383020535111427,1.0,0.766
86,0.0320003516972065,1.0,0.758
87,0.014245578087866306,1.0,0.755
88,0.010994432494044304,1.0,0.744
89,0.03672853112220764,1.0,0.756
90,0.012900237925350666,1.0,0.761
91,0.01660475693643093,1.0,0.766
92,0.009191708639264107,1.0,0.753
93,0.01480366475880146,1.0,0.748
94,0.015544761903584003,1.0,0.741
95,0.011287901550531387,1.0,0.742
96,0.032456494867801666,1.0,0.747
97,0.009828384034335613,1.0,0.757
98,0.015836426988244057,1.0,0.766
99,0.024021780118346214,1.0,0.775
