Epoch,Loss,Train Accuracy,Test Accuracy
0,2.3075737953186035,0.105,0.016
1,2.4025931358337402,0.1,0.089
2,2.2808291912078857,0.1,0.385
3,2.4139974117279053,0.29,0.419
4,2.175593376159668,0.1,0.061
5,2.273481845855713,0.315,0.114
6,2.103872299194336,0.43,0.264
7,1.9789870977401733,0.235,0.078
8,1.8930233716964722,0.355,0.174
9,1.8961261510849,0.39,0.34
10,1.622804880142212,0.235,0.167
11,2.5462117195129395,0.29,0.369
12,2.1806516647338867,0.465,0.532
13,1.409421443939209,0.475,0.543
14,1.3413612842559814,0.57,0.552
15,1.2691717147827148,0.565,0.652
16,1.1830828189849854,0.57,0.455
17,1.1049977540969849,0.54,0.416
18,0.9805580377578735,0.63,0.386
19,0.9960999488830566,0.62,0.387
20,0.9229438304901123,0.705,0.541
21,0.9304509162902832,0.73,0.673
22,0.8374135494232178,0.685,0.449
23,0.8173831701278687,0.67,0.62
24,0.7489479184150696,0.695,0.45
25,0.6873867511749268,0.645,0.429
26,0.744682252407074,0.715,0.45
27,0.6646726727485657,0.74,0.679
28,0.6532658934593201,0.77,0.678
29,0.6991623044013977,0.83,0.695
30,0.5817697048187256,0.785,0.577
31,0.5255244970321655,0.755,0.475
32,0.5826653838157654,0.735,0.534
33,0.5254004001617432,0.775,0.529
34,0.5158898234367371,0.74,0.483
35,0.5314772129058838,0.805,0.507
36,0.49607399106025696,0.795,0.592
37,0.6897043585777283,0.855,0.753
38,0.5265108346939087,0.725,0.658
39,0.646653413772583,0.725,0.65
40,0.6550033688545227,0.905,0.745
41,0.4006669223308563,0.85,0.696
42,0.47299450635910034,0.835,0.663
43,0.4724109172821045,0.855,0.719
44,0.34620681405067444,0.85,0.6
45,0.41935592889785767,0.85,0.612
46,0.43228569626808167,0.9,0.739
47,0.26592615246772766,0.84,0.659
48,0.3484753668308258,0.89,0.636
49,0.3327011168003082,0.94,0.745
50,0.2728833854198456,0.915,0.796
51,0.2959776520729065,0.86,0.795
52,0.3480037450790405,0.91,0.824
53,0.23152533173561096,0.9,0.596
54,0.31187963485717773,0.855,0.522
55,0.29873067140579224,0.885,0.627
56,0.26140084862709045,0.885,0.8
57,0.3548519015312195,0.94,0.817
58,0.23792554438114166,0.94,0.748
59,0.18733005225658417,0.94,0.754
60,0.20315971970558167,0.955,0.831
61,0.16182783246040344,0.93,0.838
62,0.19303764402866364,0.96,0.838
63,0.1523359715938568,0.965,0.793
64,0.1292801946401596,0.95,0.779
65,0.13706110417842865,0.965,0.829
66,0.12287021428346634,0.965,0.837
67,0.09394785016775131,0.98,0.816
68,0.1000024676322937,0.965,0.815
69,0.10786990076303482,0.985,0.8
70,0.15690524876117706,0.99,0.836
71,0.09034443646669388,0.97,0.847
72,0.11242572963237762,0.975,0.838
73,0.10199887305498123,0.98,0.794
74,0.07545299828052521,0.975,0.794
75,0.06852179765701294,0.985,0.829
76,0.05860483646392822,0.985,0.833
77,0.11078426986932755,0.995,0.845
78,0.07684722542762756,0.97,0.833
79,0.07096868753433228,0.945,0.792
80,0.12684722244739532,0.97,0.831
81,0.08897874504327774,0.98,0.841
82,0.09933341294527054,0.96,0.846
83,0.11072412133216858,0.955,0.848
84,0.05566352233290672,0.965,0.813
85,0.10589634627103806,0.96,0.767
86,0.16710510849952698,0.985,0.82
87,0.04718220233917236,0.995,0.833
88,0.03601021319627762,0.99,0.832
89,0.07202379405498505,0.995,0.848
90,0.05244243144989014,0.995,0.847
91,0.05110029876232147,0.995,0.84
92,0.056265030056238174,0.995,0.835
93,0.0668954998254776,0.99,0.817
94,0.07738285511732101,0.995,0.838
95,0.022553548216819763,1.0,0.851
96,0.015153253450989723,0.985,0.841
97,0.07771345973014832,0.995,0.852
98,0.022240696474909782,1.0,0.838
99,0.023350469768047333,1.0,0.84
