Epoch,Loss,Train Accuracy,Test Accuracy
0,1.9449388980865479,0.14285714285714285,0.145
1,1.9330514669418335,0.20714285714285716,0.246
2,1.9089326858520508,0.24285714285714285,0.353
3,1.8784153461456299,0.25,0.306
4,1.8173993825912476,0.34285714285714286,0.408
5,1.7647011280059814,0.37857142857142856,0.479
6,1.7123326063156128,0.36428571428571427,0.471
7,1.6522808074951172,0.37857142857142856,0.468
8,1.5657647848129272,0.38571428571428573,0.492
9,1.551444411277771,0.42142857142857143,0.523
10,1.4752659797668457,0.42857142857142855,0.517
11,1.4553745985031128,0.4714285714285714,0.54
12,1.3701375722885132,0.5571428571428572,0.567
13,1.300693154335022,0.6357142857142857,0.598
14,1.3024412393569946,0.6785714285714286,0.627
15,1.191740870475769,0.65,0.623
16,1.2182958126068115,0.7357142857142858,0.671
17,1.211630940437317,0.7857142857142857,0.677
18,1.1175333261489868,0.7714285714285715,0.68
19,1.019824504852295,0.7785714285714286,0.688
20,1.0339221954345703,0.8,0.673
21,1.083953619003296,0.7928571428571428,0.678
22,0.9114344120025635,0.8071428571428572,0.669
23,0.9500929713249207,0.8142857142857143,0.664
24,0.9736713767051697,0.8214285714285714,0.676
25,0.900898814201355,0.8285714285714286,0.676
26,0.8943058848381042,0.8142857142857143,0.674
27,0.8352978825569153,0.8428571428571429,0.685
28,0.8450658321380615,0.8714285714285714,0.695
29,0.7261031270027161,0.8928571428571429,0.701
30,0.7822145223617554,0.9071428571428571,0.695
31,0.7335359454154968,0.9071428571428571,0.699
32,0.8406432867050171,0.9071428571428571,0.706
33,0.7534229755401611,0.9142857142857143,0.708
34,0.7273236513137817,0.9142857142857143,0.712
35,0.6700509190559387,0.9214285714285714,0.709
36,0.6805359721183777,0.9285714285714286,0.709
37,0.6474382877349854,0.9,0.698
38,0.6452220678329468,0.8928571428571429,0.697
39,0.6359109878540039,0.9071428571428571,0.705
40,0.6199113726615906,0.9285714285714286,0.711
41,0.5787627100944519,0.95,0.712
42,0.5464251637458801,0.9428571428571428,0.714
43,0.6123054027557373,0.9357142857142857,0.723
44,0.5415550470352173,0.9428571428571428,0.721
45,0.6030122637748718,0.9428571428571428,0.718
46,0.5570758581161499,0.9357142857142857,0.705
47,0.5715808868408203,0.9,0.697
48,0.5135607123374939,0.8928571428571429,0.679
49,0.5746443271636963,0.8928571428571429,0.68
50,0.5271704196929932,0.8928571428571429,0.685
51,0.41944870352745056,0.9285714285714286,0.695
52,0.49221596121788025,0.9357142857142857,0.694
53,0.4694533348083496,0.9714285714285714,0.709
54,0.48033174872398376,0.9714285714285714,0.724
55,0.43390169739723206,0.9714285714285714,0.736
56,0.5071415305137634,0.9785714285714285,0.738
57,0.39141717553138733,0.9857142857142858,0.742
58,0.4407416880130768,0.9785714285714285,0.744
59,0.3909635841846466,0.9785714285714285,0.747
60,0.39590921998023987,0.9785714285714285,0.744
61,0.4286839962005615,0.9928571428571429,0.743
62,0.3500065207481384,1.0,0.728
63,0.4179619252681732,1.0,0.714
64,0.3621181845664978,1.0,0.718
65,0.4014545679092407,1.0,0.722
66,0.37448957562446594,1.0,0.728
67,0.36563000082969666,1.0,0.736
68,0.2968687117099762,0.9928571428571429,0.742
69,0.3051627278327942,0.9928571428571429,0.743
70,0.3402197062969208,1.0,0.748
71,0.3363877832889557,1.0,0.738
72,0.30084678530693054,1.0,0.735
73,0.286624014377594,1.0,0.721
74,0.3065851330757141,1.0,0.709
75,0.28158360719680786,1.0,0.711
76,0.29854142665863037,1.0,0.728
77,0.20687712728977203,1.0,0.736
78,0.2282698154449463,1.0,0.744
79,0.25294166803359985,1.0,0.746
80,0.22154562175273895,1.0,0.748
81,0.2930265963077545,1.0,0.741
82,0.30137255787849426,1.0,0.735
83,0.28044068813323975,1.0,0.735
84,0.18903666734695435,1.0,0.739
85,0.19841888546943665,1.0,0.745
86,0.25776252150535583,1.0,0.745
87,0.3583962917327881,1.0,0.732
88,0.23915712535381317,1.0,0.731
89,0.27536287903785706,1.0,0.72
90,0.1838700771331787,1.0,0.704
91,0.2272857129573822,1.0,0.707
92,0.16624684631824493,1.0,0.71
93,0.23115509748458862,1.0,0.717
94,0.21750709414482117,1.0,0.728
95,0.18490596115589142,1.0,0.744
96,0.23765476047992706,1.0,0.762
97,0.2417510449886322,1.0,0.765
98,0.30264076590538025,1.0,0.76
99,0.18212778866291046,1.0,0.75
